account.id,score
0x0aa05126f46862cb8cc097a4d6f0f47ddfba0a7c,100
0x1954c8cd151de0d0946fcc1e8a97545f711e2380,84
0x1cd2eb4e9b2efaf76fc6637b5d3ce3498d5c5000,84
0x1fa02e36cb086f2a89adba718c65db7085d16756,84
0x23395e68e4a65b5b9b33e3819f6a3058752a1a2e,84
0x30caf91380d5911d417f5dada36f145897bc7f72,84
0x3584ca77ba08bd8b3fe4762e60eb284e37696829,84
0x4d37f28d2db99e8d35a6c725a5f1749a085850a3,84
0x4fe95c36bb9b3a81f278569525162f91615e77d7,84
0x502cb8985b2c92a8d4bf309cdaa89de9be442708,84
0x5142126b4573ae1a23e4c8ab2a16631cae725325,84
0x540467e4d66cea16598240ba82215f459c9b988a,84
0x57ef012861c4937a76b5d6061be800199a2b9100,84
0x60ad81273c776aea562faeaa601ffc1680ae929d,84
0x6168bb05ccb4aaded0169602bbb6e3cae12902c5,84
0x61ad994108a0d4b8a2dc60129362ffa62342bbd2,84
0x8c863333c2e92f02e01f7a3c6d131e4d59f78990,84
0x9ce8f85083fcf364467a827cb15730102306ed1c,84
0xa24f2e6dcbd2da9a220958401dab74b365bd34e1,84
0xbc9c92922d98f2896e173b6c197b7fc1674324c9,84
0xc6d1cbd356faa71447a86c2faa68e6456907e816,84
0xd00ae74b8a2a0b3c17636cdcf4c4e72149f2ee20,84
0xd2adb7b4df854631fa0f790a93b2fa25fad3f56e,84
0xd527c56dc2ac6a71f04242548039d07006e9103e,84
0xd593193c672f5a8f999c0f3c8f2f46521fe84691,84
0xd888dafa1df40c262c10d0479b9f0b8d8d2cdfc7,84
0xe1447914f234eb30f8725b2f564e60a655e39cc0,84
0xefd0199657b444856e3259ed8e3c39ee43cf51dc,84
0x0006e4548aed4502ec8c844567840ce6ef1013f5,82
0x003c52a71c887461087154eccced08cb1c5384a5,82
0x03e3702d91098350d057ded0a05095f703bba2e7,82
0x07326cbe4792e8e3c1f61c66fefee8253eb2db0c,82
0x0be0ecc301a1c0175f07a66243cff628c24db852,82
0x0f3c2476fbf0ed09dff00ea7f4ef252dcc72e6f1,82
0x19360799a15730fac556088793895aa7650ee442,82
0x2142efcb2870affc21b4f2ebbe3976f446ce2b90,82
0x2b19fde5d7377b48be50a5d0a78398a496e8b15c,82
0x3596c017ad351628cd31980837c0938ddbad7e49,82
0x381a17eb78501498fa183c81648b4165826e1af7,82
0x39dab51b477cdadee45191abf283ec8b3e4108a3,82
0x3f70d4927adfad26eb7b1574eea7939d347d902b,82
0x40335581dd8692b698762168908d4ea23b0b94f9,82
0x4654f56a64301b9b582f843f97332d96ead11ff8,82
0x4ae0dbd5c700c64faaf85678fc1fcdf6aba5c5dd,82
0x4f5c0754c5f90e722d78964644bd29687b87c584,82
